EE #,Job Title,Current Employment Status,Project Code,Original Hire Date,Last Hire Date,LOS in Days,Termination Date,Reason Code,Left,Fired
212758,Laborer Renewables,T,55072,10/08/2014,03/15/2021,29,04/13/2021,Discharge,0,1
216225,Operator Renewables,T,55071,11/05/2007,09/14/2020,346,08/26/2021,Lack of Work,0,0
217415,Operator Renewables,T,55101,05/09/2024,05/09/2024,76,07/24/2024,Excessive Absenteeism,0,1
217880,Operator Renewables,T,55087,11/29/2022,11/29/2022,101,03/10/2023,Personal/Family,1,0
219905,Quality Director,A,,02/20/2023,02/20/2023,738,,,0,0
221643,Field Admin,A,55138,12/04/2023,12/04/2023,451,,,0,0
222251,Helper Renewables,T,,03/21/2022,03/21/2022,133,08/01/2022,Position Eliminated,0,1
222337,Operator Renewables,T,55310,03/13/2024,03/13/2024,154,08/14/2024,Policy Viol-Drug/Alcohol,0,1
222512,Gen Foreman Renewables,T,55103,11/20/2023,11/20/2023,226,07/03/2024,Other Job,1,0
223488,,T,55072,08/29/2013,10/26/2020,11,11/06/2020,Lack of Work,0,0
224598,Operator Renewables,T,55103,01/10/2023,01/10/2023,617,09/18/2024,,0,0
225777,Operator Renewables,T,55076,04/04/2016,08/11/2021,172,01/30/2022,Lack of Work,0,0
226408,Operator Renewables,T,55109,09/26/2023,04/09/2024,199,10/25/2024,Other Job,1,0
229245,,T,55060,02/12/2007,07/17/2018,62,09/17/2018,Lack of Work,0,0
233285,Site Manager,A,55120,09/12/2022,09/12/2022,899,,,0,0
234223,,T,,04/27/2015,08/18/2016,540,02/09/2018,Resignation,1,0
234224,,T,,05/19/2014,01/08/2018,10,01/18/2018,Resignation,1,0
234250,,T,,08/25/2014,01/08/2018,122,05/10/2018,Resignation,1,0
234296,,T,2047017,05/13/2013,10/10/2016,528,03/22/2018,Resignation,1,0
234367,,T,20473,10/15/2013,07/08/2016,769,08/16/2018,Resignation,1,0
234437,,T,4124016,10/18/2013,02/26/2018,29,03/27/2018,Resignation,1,0
234486,,T,,02/27/2017,02/27/2017,505,07/17/2018,Resignation,1,0
234487,,T,,07/20/2016,07/20/2016,583,02/23/2018,Lack of Work,0,0
234538,,T,4153017,06/28/2017,06/28/2017,197,01/11/2018,Resignation,1,0
234540,,T,,08/22/2014,02/01/2016,885,07/05/2018,Resignation,1,0
65190,Operator Renewables,T,55109,03/26/2024,03/26/2024,225,11/06/2024,Resignation,1,0
66659,Operator Renewables,T,55107,02/08/2024,02/08/2024,81,04/29/2024,Policy Viol-Drug/Alcohol,0,1
75662,Project Manager,T,55072,11/09/2009,11/09/2009,"4,305",08/23/2021,Discharge,0,1
80652,Field Admin,A,55137,02/17/2025,02/17/2025,10,,,0,0
80841,Project Controls Spv,T,55076,07/09/2012,07/09/2012,"4,043",08/04/2023,Other Job,1,0
82818,Truck Driver Renewables,T,55087,10/19/2022,10/19/2022,182,04/19/2023,Other Job,1,0
88862,Operator Renewables,T,55101,05/09/2024,05/09/2024,171,10/27/2024,Personal/Family,1,0
90754,Operator Renewables,T,55090,12/08/2022,12/08/2022,230,07/26/2023,Resignation,1,0
91042,Laborer Renewables,T,55079,03/08/2022,03/08/2022,45,04/22/2022,Lack of Work,0,0
94620,Vice President,T,,12/07/2015,05/15/2023,630,02/03/2025,Performance,0,1
96331,Operator Renewables,T,55090,12/13/2022,12/13/2022,22,01/04/2023,Personal/Family,1,0
97041,Operator Renewables,T,55113,09/03/2024,09/03/2024,76,11/18/2024,Other Job,1,0
109051,Foreman Renewables,A,55123,02/10/2022,02/10/2022,"1,113",,,0,0
116402,Operator Renewables,T,55090,11/19/2018,12/13/2022,183,06/14/2023,Resignation,1,0
117538,Laborer Renewables,T,55073,03/21/2019,12/07/2020,128,04/14/2021,Lack of Work,0,0
117572,Senior Estimator,T,,02/20/2023,02/20/2023,115,06/15/2023,Performance,0,1
118715,Gen Foreman Renewables,A,55311,05/03/2022,09/11/2023,535,,,0,0
118727,Operator Renewables,T,55076,09/15/2020,09/15/2020,563,04/01/2022,Lack of Work,0,0
119900,Operator Renewables,T,55076,07/25/2019,07/06/2021,232,02/23/2022,Resignation,1,0
121230,HR Coordinator,A,,01/13/2020,05/16/2022,"1,018",,,0,0
177402,Project Coordinator,A,,05/18/2020,12/09/2024,80,,,0,0
177800,Operator Renewables,T,55093,11/29/2022,11/29/2022,62,01/30/2023,Other Job,1,0
200727,,T,,02/06/2017,02/06/2017,771,03/19/2019,Discharge,0,1
200812,Gen Foreman Renewables 2,A,55120,09/11/2023,09/11/2023,535,,,0,0
202318,Operator Renewables,A,55086,04/19/2010,10/26/2021,"1,220",,,0,0
202892,Laborer Renewables,T,55072,04/24/2014,02/04/2021,30,03/06/2021,Discharge,0,1
203275,,T,,01/15/2013,02/20/2017,"1,432",01/22/2021,Lack of Work,0,0
204411,Project Manager,A,,04/07/2014,02/14/2022,"1,109",,,0,0
204888,Gen Foreman Renewables,A,55120,03/07/2022,01/09/2023,780,,,0,0
225440,,T,55071,04/06/2017,01/04/2021,0,01/04/2021,Resignation,1,0
225768,Superintendent Renewbls,T,55310,11/20/2023,11/20/2023,268,08/14/2024,Policy Viol-Drug/Alcohol,0,1
225967,Vice President,T,,05/19/2014,02/14/2022,329,01/09/2023,Performance,0,1
225991,,T,,06/05/2017,06/05/2017,582,01/08/2019,Resignation,1,0
227761,,T,55073,06/01/2005,10/19/2020,17,11/05/2020,Discharge,0,1
230366,Operator Renewables,T,55085,04/04/2023,04/04/2023,43,05/17/2023,Excessive Absenteeism,0,1
231155,Operator Renewables,T,55100,06/19/2024,06/19/2024,102,09/29/2024,Personal/Family,1,0
231913,Laborer Renewables,T,55723,06/26/2024,06/26/2024,2,06/28/2024,Resignation,1,0
233933,,T,55061,07/23/2014,07/01/2019,18,07/19/2019,Discharge,0,1
234278,,T,4171017,08/15/2016,01/22/2018,94,04/26/2018,Resignation,1,0
234299,,T,4169017,11/07/2016,09/04/2018,198,03/21/2019,Resignation,1,0
234346,,T,4169017,01/07/2014,03/01/2015,"1,131",04/05/2018,Resignation,1,0
234348,,T,41736,05/19/2014,01/22/2019,87,04/19/2019,Resignation,1,0
234362,,T,,05/21/2007,01/14/2018,54,03/09/2018,Lack of Work,0,0
234387,,T,41725,10/18/2012,10/05/2015,874,02/25/2018,Discharge,0,1
234389,,T,4128016,06/02/2014,10/05/2015,"1,039",08/09/2018,Resignation,1,0
234390,,T,,10/13/2011,05/09/2016,746,05/25/2018,Resignation,1,0
234394,,T,41722,09/06/2016,09/06/2016,836,12/21/2018,Resignation,1,0
234440,,T,41730,07/11/2017,01/22/2018,141,06/12/2018,Resignation,1,0
234529,,T,4124016,08/21/2017,08/21/2017,410,10/05/2018,Resignation,1,0
234618,,T,4128016,07/06/2016,07/06/2016,575,02/01/2018,Resignation,1,0
234975,,T,41728,07/07/2008,01/08/2018,270,10/05/2018,Resignation,1,0
235049,Foreman Renewables,A,55143,07/24/2017,04/11/2024,322,,,0,0
235216,Operator Renewables,T,55090,12/13/2022,12/13/2022,162,05/24/2023,Resignation,1,0
235381,,T,,04/10/2017,04/10/2017,571,11/02/2018,Resignation,1,0
235407,,T,55060,07/12/2017,07/12/2017,327,06/04/2018,Lack of Work,0,0
236134,Laborer Renewables,T,55103,05/18/2023,01/30/2024,176,07/24/2024,Lack of Work,0,0
238209,Operator Renewables,A,55120,01/06/2022,04/30/2024,303,,,0,0
239129,,T,,01/04/2016,11/19/2016,468,03/02/2018,Resignation,1,0
234949,,T,2043017,07/15/2016,01/08/2018,38,02/15/2018,Resignation,1,0
236074,,T,55061,09/15/2014,11/19/2016,965,07/12/2019,Discharge,0,1
236458,,T,11713,07/20/2015,01/22/2018,480,05/17/2019,Resignation,1,0
237600,,T,55060,08/17/2017,08/06/2018,39,09/14/2018,Lack of Work,0,0
239503,,T,41736,04/28/2014,03/01/2015,"1,551",05/30/2019,Resignation,1,0
239758,Operator Renewables,A,55094,10/31/2023,10/31/2023,485,,,0,0
241058,Truck Driver Renewables,T,,11/28/2016,06/13/2021,0,06/13/2021,Transferred out,0,0
242085,Logistics Foreman,A,55126,12/01/2021,03/21/2024,343,,,0,0
243321,Superintendent Renewbls 2,A,55106,02/11/2014,03/29/2021,"1,431",,,0,0
244133,Helper Renewables,T,55086,01/26/2023,01/26/2023,140,06/15/2023,Resignation,1,0
246042,Laborer Renewables,T,55085,01/06/2022,01/06/2022,148,06/03/2022,Resignation,1,0
246431,Laborer Renewables,A,55143,02/01/2022,01/14/2025,44,,,0,0
247065,Electrician Renewables,T,55072,06/13/2019,03/16/2021,36,04/21/2021,Discharge,0,1
247068,,T,,10/06/2017,10/06/2017,560,04/19/2019,Resignation,1,0
247337,,T,,12/04/2017,12/04/2017,71,02/13/2018,Discharge,0,1
247489,Field Admin,A,,12/21/2017,04/01/2019,"2,159",,,0,0
247641,Estimating Director,T,,11/20/2017,11/20/2017,"1,869",01/02/2023,Death,0,0
247670,,T,,01/15/2018,01/15/2018,459,04/19/2019,Resignation,1,0
247675,,T,,11/27/2017,11/27/2017,137,04/13/2018,Resignation,1,0
247752,,T,,02/05/2018,02/05/2018,78,04/24/2018,Resignation,1,0
247765,,T,,01/02/2018,01/02/2018,515,06/01/2019,Resignation,1,0
247904,Operator Renewables,T,55094,01/30/2018,08/03/2021,"1,077",07/15/2024,Resignation,1,0
247922,Laborer Renewables,T,55073,01/31/2018,01/13/2021,91,04/14/2021,Lack of Work,0,0
247927,Operator Renewables,T,55089,01/31/2018,02/07/2024,12,02/19/2024,Resignation,1,0
248017,,T,,02/05/2018,02/05/2018,767,03/13/2020,Discharge,0,1
248020,,T,55061,02/05/2018,10/09/2019,0,10/09/2019,Resignation,1,0
248022,Foreman Renewables,T,55093,02/05/2018,08/03/2020,"1,155",10/02/2023,Policy Viol-Drug/Alcohol,0,1
248050,Gen Foreman Renewables,A,55156,02/13/2018,07/13/2021,"1,325",,,0,0
248051,,T,55060,02/12/2018,02/12/2018,102,05/25/2018,Resignation,1,0
248060,Foreman Renewables,T,55076,02/12/2018,09/15/2021,93,12/17/2021,Personal/Family,1,0
234610,Operator Renewables,T,55094,01/04/2024,01/04/2024,178,06/30/2024,Policy Viol-Drug/Alcohol,0,1
234956,,T,,11/13/2006,01/18/2017,758,02/15/2019,Resignation,1,0
234963,,T,,05/28/1991,03/01/2015,"1,493",04/02/2019,Resignation,1,0
235541,Operator Renewables,A,55123,11/03/2016,09/20/2022,891,,,0,0
235569,,T,,11/28/2016,10/18/2017,156,03/23/2018,Resignation,1,0
235674,,T,,05/16/2017,05/16/2017,591,12/28/2018,Resignation,1,0
235995,Operator Renewables,A,55113,08/18/2013,11/16/2017,"2,660",,,0,0
236028,Laborer Renewables,T,55072,03/25/2013,03/19/2021,41,04/29/2021,Lack of Work,0,0
236632,Gen Foreman Renewables,A,55105,10/19/2021,10/19/2021,"1,227",,,0,0
236685,WH/Material Specialist,T,55107,01/30/2017,07/18/2022,469,10/30/2023,Performance,0,1
239276,Laborer Renewables,T,55086,08/25/2022,08/25/2022,1,08/26/2022,Resignation,1,0
240191,Laborer Renewables,T,55073,10/10/2016,10/10/2016,"1,660",04/27/2021,No Call-No Show,0,1
240224,Gen Foreman Renewables,A,55094,08/16/2022,06/17/2024,255,,,0,0
240334,,T,4169017,05/31/2016,05/31/2016,873,10/21/2018,Resignation,1,0
240340,,T,4124016,10/31/2016,10/31/2016,683,09/14/2018,Resignation,1,0
240833,Operator App Renewables,T,55117,05/07/2024,05/07/2024,194,11/17/2024,Lack of Work,0,0
243288,Operator Renewables,T,55306,01/17/2023,01/17/2023,59,03/17/2023,Other Job,1,0
246662,Gen Foreman Renewables 3,A,55113,06/22/2015,02/14/2022,"1,109",,,0,0
246670,General Superintendent,A,55076,09/05/2017,09/05/2017,"2,732",,,0,0
247271,,T,,10/18/2017,10/18/2017,65,12/22/2017,Discharge,0,1
247591,Operator Renewables,T,55072,11/16/2017,11/16/2017,"1,327",07/05/2021,Transferred out,0,0
247639,,T,,01/15/2018,01/15/2018,802,03/27/2020,Lack of Work,0,0
247701,,T,55060,01/29/2018,01/29/2018,262,10/18/2018,Lack of Work,0,0
247743,Operator Renewables,A,55143,09/24/2024,09/24/2024,156,,,0,0
247926,,T,55062,01/31/2018,04/08/2019,438,06/19/2020,Lack of Work,0,0
247929,Operator Renewables,A,55094,01/30/2018,04/11/2022,"1,053",,,0,0
247938,Fleet Coordinator,T,,12/19/2022,12/19/2022,524,05/26/2024,Transferred out,0,0
247965,Electrician Renewables,A,55113,01/30/2018,01/18/2024,406,,,0,0
247989,,T,11706,02/05/2018,02/05/2018,187,08/11/2018,Resignation,1,0
204889,Project Manager,A,55120,10/21/2021,02/14/2022,"1,109",,,0,0
206375,Truck Driver Renewables,T,55089,05/11/2022,05/11/2022,765,06/14/2024,Personal/Family,1,0
206555,Laborer Renewables,T,55085,01/06/2022,01/06/2022,218,08/12/2022,Lack of Work,0,0
206873,WH/Yard Foreman,T,,09/30/2013,01/03/2022,356,12/25/2022,Transferred out,0,0
207026,Operator Renewables,T,55089,09/20/2022,09/20/2022,18,10/08/2022,Other Job,1,0
209042,HSE Site Technician,T,55107,11/20/2023,11/20/2023,115,03/14/2024,No Call-No Show,0,1
209443,Operator Renewables,T,55101,02/28/2023,02/28/2023,454,05/27/2024,Other Job,1,0
209637,Operator Renewables,T,55072,07/22/2013,01/07/2021,112,04/29/2021,Lack of Work,0,0
210286,Operator Renewables,T,55081,01/20/2022,01/20/2022,47,03/08/2022,No Call-No Show,0,1
211424,Regional Manager,A,,01/09/2023,01/09/2023,780,,,0,0
211587,Laborer Renewables,T,55072,10/08/2014,03/15/2021,29,04/13/2021,Discharge,0,1
213222,Operator Renewables,T,55072,06/14/2010,11/10/2020,35,12/15/2020,Lack of Work,0,0
215216,HR Recruiter,T,,04/05/2022,04/05/2022,402,05/12/2023,Position Eliminated,0,1
215488,HSE Site Manager,T,,06/06/2022,06/06/2022,276,03/09/2023,Retirement/Early Retire,1,0
216743,Quality Site Manager,T,,02/05/2013,05/03/2021,109,08/20/2021,Personal/Family,1,0
218305,Superintendent Renewbls,T,55100,01/08/2024,01/08/2024,190,07/16/2024,Resignation,1,0
219095,Operator Renewables,T,55107,01/18/2023,10/12/2023,209,05/08/2024,Resignation,1,0
220024,Operator Renewables,A,55138,02/24/2025,02/24/2025,3,,,0,0
220554,Operator Renewables,T,55304,06/21/2023,06/21/2023,37,07/28/2023,Resignation,1,0
221703,HSE Director,A,55071,12/11/1995,12/11/1995,"10,671",,,0,0
222717,Operator Renewables,T,55087,06/02/2016,07/12/2022,193,01/21/2023,Policy Viol-Drug/Alcohol,0,1
223579,Foreman Renewables,T,55072,11/30/2015,04/20/2020,441,07/05/2021,Transferred out,0,0
225248,Laborer Renewables,A,55150,04/16/2024,01/20/2025,38,,,0,0
225732,Senior Vice President,T,,12/31/2013,11/19/2016,"2,330",04/07/2023,Resignation,1,0
226020,Mechanic Field 3,T,,04/10/2017,08/03/2020,716,07/20/2022,Excessive Absenteeism,0,1
226312,,T,55061,10/27/2015,04/04/2019,131,08/13/2019,Discharge,0,1
226805,Operator Renewables,T,55076,07/06/2021,09/27/2021,360,09/22/2022,Resignation,1,0
228408,Operator Renewables,T,55105,11/01/2022,11/01/2022,816,01/25/2025,Lack of Work,0,0
239708,Estimating Director,A,,03/27/2017,03/27/2017,"2,894",,,0,0
240151,,T,,04/21/2015,01/22/2018,793,03/25/2020,Lack of Work,0,0
240288,Operator Renewables,T,55105,09/20/2023,09/20/2023,364,09/18/2024,Lack of Work,0,0
241687,Laborer Renewables,T,55117,05/28/2024,05/28/2024,173,11/17/2024,Lack of Work,0,0
243293,Operator Renewables,T,55085,09/29/2016,07/07/2021,276,04/09/2022,Resignation,1,0
245624,Laborer App Renewables,T,55117,05/07/2024,05/07/2024,187,11/10/2024,Lack of Work,0,0
246569,Laborer Renewables,A,55113,05/19/2022,07/18/2024,224,,,0,0
246940,,T,,09/25/2017,09/25/2017,375,10/05/2018,Resignation,1,0
246949,,T,,09/25/2017,09/25/2017,126,01/29/2018,Resignation,1,0
246993,Truck Driver Renewables,A,55138,09/25/2017,01/17/2023,772,,,0,0
247440,Foreman Renewables,T,55076,10/30/2017,02/27/2019,898,08/13/2021,Return to School,1,0
247719,,T,,01/29/2018,01/29/2018,361,01/25/2019,Resignation,1,0
247930,,T,55061,01/31/2018,05/23/2019,83,08/14/2019,Discharge,0,1
247952,Operator Renewables,T,55094,02/02/2018,11/07/2023,164,04/19/2024,Other Job,1,0
247986,,T,11687,02/05/2018,02/05/2018,130,06/15/2018,Resignation,1,0
248014,Foreman Renewables,A,55113,02/05/2018,10/01/2024,149,,,0,0
248015,,T,55062,02/05/2018,09/09/2019,224,04/20/2020,Resignation,1,0
