EE #,FLSA Category,PR Dept,Reason,Craft Class Code,Project Code,Promotion Date
308820,Non-Exempt,4104,Promotion,18-47-401,55138.0,2023-12-11
308820,Non-Exempt,4104,Promotion,18-47-401,55138.0,2024-04-08
282536,Exempt,4104,Promotion,18-2-S265,55772.0,2023-09-04
282536,Exempt,4104,Promotion,18-2-S265,55772.0,2024-04-29
295145,Non-Exempt,4104,Promotion,18-5-5160,55117.0,2023-05-29
300350,Non-Exempt,4104,Promotion,18-8-1004,55089.0,2023-02-13
281931,Exempt,4104,Promotion,18-2-S263,55094.0,2023-05-15
291585,Exempt,4104,Promotion,18-4-S444,55109.0,2022-10-31
291585,Exempt,4104,Promotion,18-4-S444,55109.0,2024-03-18
291585,Exempt,4104,Promotion,18-4-S444,55109.0,2024-12-09
291585,Non-Exempt,4104,Promotion,18-4-S444,55109.0,2022-03-14
292344,Non-Exempt,4104,Promotion,18-41-1003,55093.0,2023-10-02
281598,Non-Exempt,4104,Promotion,18-8-1004,55081.0,2022-01-24
295739,Exempt,4104,Promotion,18-1-S171,,2023-03-27
302491,Non-Exempt,4104,Promotion,18-5-5010,55113.0,2023-02-13
302491,Non-Exempt,4104,Promotion,18-5-5010,55113.0,2023-07-31
302491,Non-Exempt,4104,Promotion,18-5-5010,55113.0,2025-01-13
302491,Non-Exempt,4104,Promotion,18-5-5010,55113.0,2025-01-13
292461,Exempt,4104,Promotion,18-2-S264,55150.0,2023-09-25
292461,Non-Exempt,4104,Promotion,18-2-S264,55150.0,2022-10-10
324249,Non-Exempt,4104,Promotion,18-745-800,55117.0,2024-12-09
323165,Exempt,4104,Promotion,18-2-S271,55091.0,2025-02-17
323165,Non-Exempt,4104,Promotion,18-2-S271,55091.0,2024-08-12
284017,Exempt,4104,Promotion,18-2-S271,55123.0,2024-10-07
294389,Non-Exempt,4104,Promotion,18-8-1004,55089.0,2022-11-07
302985,Non-Exempt,4104,Promotion,18-41-1003,55093.0,2023-02-13
276567,Exempt,4104,Promotion,18-2-S271,55100.0,2023-02-27
306352,Non-Exempt,4104,Promotion,18-41-1003,55093.0,2023-07-24
304249,Non-Exempt,4104,Promotion,18-5-5080,55126.0,2023-04-24
304249,Non-Exempt,4104,Promotion,18-5-5080,55126.0,2023-10-30
302361,Non-Exempt,4104,Promotion,18-77-601,55113.0,2023-01-02
302361,Non-Exempt,4104,Promotion,18-77-601,55113.0,2024-09-30
303573,Non-Exempt,4104,Promotion,18-30-1001,55091.0,2023-10-16
308546,Non-Exempt,4104,Promotion,18-40-1001,55093.0,2023-09-18
291257,Non-Exempt,4104,Promotion,18-2-S265,55106.0,2022-06-20
306924,Non-Exempt,4104,Promotion,18-47-601,55113.0,2024-04-22
290185,Non-Exempt,4104,Promotion,18-2-3060,55093.0,2022-10-17
290185,Non-Exempt,4104,Promotion,18-2-3060,55093.0,2024-04-22
271404,Non-Exempt,4104,Promotion,18-74-400,55109.0,2022-04-25
301200,Non-Exempt,4104,Promotion,18-8-1005,55100.0,2023-03-27
294302,Non-Exempt,4104,Promotion,18-757-516,55074.0,2022-05-03
302337,Non-Exempt,4104,Promotion,18-2-3100,55123.0,2023-10-25
302345,Exempt,4104,Promotion,18-2-S271,55143.0,2024-10-07
302345,Non-Exempt,4104,Promotion,18-2-S271,55143.0,2023-10-25
258679,Non-Exempt,4104,Promotion,18-77-702,55094.0,2023-01-02
317830,Non-Exempt,4104,Promotion,18-40-1001,55308.0,2024-03-04
319727,Non-Exempt,4104,Promotion,18-2-3220,55091.0,2024-09-30
304609,Non-Exempt,4104,Promotion,18-74-701,55106.0,2023-04-03
304609,Non-Exempt,4104,Promotion,18-74-701,55106.0,2023-08-21
304609,Non-Exempt,4104,Promotion,18-74-701,55106.0,2024-03-04
272161,Non-Exempt,4104,Promotion,18-77-402,55143.0,2023-04-03
275773,Non-Exempt,4104,Promotion,18-2-3100,55123.0,2023-05-15
322193,Non-Exempt,4104,Promotion,18-745-800,55117.0,2024-07-01
317471,Non-Exempt,4104,Promotion,18-47-601,55113.0,2024-04-29
317471,Non-Exempt,4104,Promotion,18-47-601,55113.0,2024-11-04
272220,Exempt,4104,Promotion,18-2-S228,55089.0,2022-04-11
302237,Non-Exempt,4104,Promotion,18-40-1001,55123.0,2023-01-09
324091,Non-Exempt,4104,Promotion,18-30-1002,55311.0,2024-09-09
308562,Non-Exempt,4104,Promotion,18-40-1002,55089.0,2023-08-14
307730,Non-Exempt,4104,Promotion,18-47-400,55113.0,2023-06-05
280544,Non-Exempt,4104,Promotion,18-2-3110,55100.0,2023-02-27
274398,Non-Exempt,4104,Promotion,18-77-703,55138.0,2023-07-10
286877,Non-Exempt,4104,Promotion,18-295-415,55109.0,2023-08-14
275978,Exempt,4104,Promotion,18-2-S231,55138.0,2023-11-13
275978,Non-Exempt,4104,Promotion,18-2-S231,55138.0,2022-04-25
293411,Non-Exempt,4104,Promotion,18-77-702,55143.0,2023-06-12
300686,Non-Exempt,4104,Promotion,18-77-402,55138.0,2023-06-05
311182,Non-Exempt,4104,Promotion,18-41-1002,55081.0,2023-10-02
284813,Non-Exempt,4104,Promotion,18-2-3070,55086.0,2023-10-30
304246,Non-Exempt,4104,Promotion,18-74-702,55126.0,2024-09-09
284297,Exempt,4104,Promotion,18-5-5030,55089.0,2021-11-15
286014,Non-Exempt,4104,Promotion,18-5-5140,55809.0,2021-12-06
286014,Non-Exempt,4104,Promotion,18-5-5140,55809.0,2023-07-03
286014,Non-Exempt,4104,Promotion,18-5-5140,55809.0,2024-07-01
282667,Non-Exempt,4104,Promotion,18-2-3080,55310.0,2023-04-03
259561,Non-Exempt,4104,Promotion,18-40-1001,55094.0,2022-03-14
303231,Non-Exempt,4104,Promotion,18-47-400,55109.0,2023-09-04
284158,Exempt,4104,Promotion,18-2-S268,55143.0,2024-01-22
284158,Non-Exempt,4104,Promotion,18-2-S268,55143.0,2021-12-06
275952,Exempt,4104,Promotion,18-2-S268,55109.0,2024-03-18
259607,Exempt,4104,Promotion,18-2-S268,55086.0,2022-07-25
259607,Exempt,4104,Promotion,18-2-S268,55086.0,2024-07-29
286699,Exempt,4104,Promotion,18-2-S225,55123.0,2024-11-04
306967,Non-Exempt,4104,Promotion,18-41-1002,55081.0,2023-07-17
306967,Non-Exempt,4104,Promotion,18-41-1002,55081.0,2023-08-28
306705,Non-Exempt,4104,Promotion,18-77-101,55143.0,2024-07-01
323521,Non-Exempt,4104,Promotion,18-8-1005,55123.0,2024-08-19
236134,Non-Exempt,4104,Promotion,18-41-1001,55103.0,2023-07-31
248563,Non-Exempt,4104,Promotion,18-2-S271,55076.0,2021-10-18
291163,Non-Exempt,4104,Promotion,18-2-3030,55094.0,2024-07-01
291164,Non-Exempt,4104,Promotion,18-41-1003,55075.0,2022-03-14
291162,Non-Exempt,4104,Promotion,18-41-1003,55094.0,2022-03-14
291886,Non-Exempt,4104,Promotion,18-30-1001,55071.0,2022-09-19
291884,Non-Exempt,4104,Promotion,18-2-3080,55079.0,2022-02-14
284399,Non-Exempt,4104,Promotion,18-74-702,55138.0,2022-04-25
286282,Non-Exempt,4104,Promotion,18-41-1003,55085.0,2023-05-29
300643,Exempt,4104,Promotion,18-1-S189,55123.0,2023-08-21
289080,Non-Exempt,4104,Promotion,18-2-3060,55093.0,2022-12-12
317854,Non-Exempt,4104,Promotion,18-41-1002,55091.0,2024-03-04
318504,Non-Exempt,4104,Promotion,18-299-501,55117.0,2024-06-10
318504,Non-Exempt,4104,Promotion,18-299-501,55117.0,2024-06-17
284515,Exempt,4104,Promotion,18-1-S119,,2023-10-23
284564,Non-Exempt,4104,Promotion,18-77-601,55113.0,2024-09-30
303087,Non-Exempt,4104,Promotion,18-4-S208,55123.0,2023-01-23
289908,Non-Exempt,4104,Promotion,18-299-522,55117.0,2023-01-16
291249,Exempt,4104,Promotion,18-2-S234,55076.0,2021-12-06
291249,Exempt,4104,Promotion,18-2-S234,55076.0,2022-05-16
311483,Non-Exempt,4104,Promotion,18-30-1002,55091.0,2024-12-16
300371,Non-Exempt,4104,Promotion,18-77-101,55109.0,2023-05-08
319581,Non-Exempt,4104,Promotion,18-41-1003,55091.0,2024-06-24
295316,Exempt,4104,Promotion,18-4-S429,55138.0,2023-05-22
290782,Non-Exempt,4104,Promotion,18-6-A344,,2022-08-29
286860,Exempt,4104,Promotion,18-2-S231,55126.0,2023-05-15
286860,Exempt,4104,Promotion,18-2-S231,55126.0,2024-11-04
279855,Non-Exempt,4104,Promotion,18-74-601,55113.0,2024-06-17
296112,Exempt,4104,Promotion,18-2-S262,55091.0,2024-09-23
296112,Non-Exempt,4104,Promotion,18-2-S262,55091.0,2023-02-27
296112,Non-Exempt,4104,Promotion,18-2-S262,55091.0,2023-06-05
282407,Non-Exempt,4104,Promotion,18-8-1006,55076.0,2023-03-27
296275,Non-Exempt,4104,Promotion,18-77-703,55138.0,2024-08-19
317189,Non-Exempt,4104,Promotion,18-197-600,55105.0,2024-05-06
317189,Non-Exempt,4104,Promotion,18-197-600,55105.0,2024-09-30
284413,Non-Exempt,4104,Promotion,18-5-5040,55076.0,2022-01-04
293501,Non-Exempt,4104,Promotion,18-40-1001,55076.0,2022-09-19
310788,Non-Exempt,4104,Promotion,18-41-1001,55100.0,2024-03-04
248465,Non-Exempt,4104,Promotion,18-2-3060,55101.0,2023-10-30
303569,Non-Exempt,4104,Promotion,18-8-1004,55103.0,2023-06-05
292323,Non-Exempt,4104,Promotion,18-40-1001,55076.0,2022-06-27
320676,Non-Exempt,4104,Promotion,18-41-1002,55086.0,2024-12-02
283469,Non-Exempt,4104,Promotion,18-2-3220,55085.0,2023-05-15
273975,Exempt,4104,Promotion,18-4-S450,,2021-08-30
272277,Exempt,4104,Promotion,18-2-S302,,2023-12-04
294901,Non-Exempt,4104,Promotion,18-47-400,55109.0,2022-09-12
302447,Non-Exempt,4104,Promotion,18-47-400,55109.0,2023-01-23
302447,Non-Exempt,4104,Promotion,18-47-400,55109.0,2024-02-26
290026,Non-Exempt,4104,Promotion,18-47-400,55113.0,2023-06-05
302756,Non-Exempt,4104,Promotion,18-2-3110,55105.0,2023-01-09
302173,Non-Exempt,4104,Promotion,18-77-701,55138.0,2024-04-22
291454,Non-Exempt,4104,Promotion,18-77-400,55138.0,2022-11-21
300931,Exempt,4104,Promotion,18-4-S444,,2023-10-09
302367,Non-Exempt,4104,Promotion,18-64-1002,55093.0,2023-06-12
319366,Non-Exempt,4104,Promotion,18-41-1002,55091.0,2024-07-22
200548,Exempt,4104,Promotion,18-1-S194,55126.0,2022-10-03
200548,Exempt,4104,Promotion,18-1-S194,55126.0,2023-06-05
200548,Exempt,4104,Promotion,18-1-S194,55126.0,2023-10-16
200548,Exempt,4104,Promotion,18-1-S194,55126.0,2024-04-15
286670,Exempt,4104,Promotion,18-4-S429,55143.0,2023-01-09
286670,Exempt,4104,Promotion,18-4-S429,55143.0,2023-05-22
286670,Non-Exempt,4104,Promotion,18-4-S429,55143.0,2022-08-22
291851,Exempt,4104,Promotion,18-4-S429,55087.0,2022-05-02
291851,Exempt,4104,Promotion,18-4-S429,55087.0,2022-05-16
280012,Exempt,4104,Promotion,18-4-S406,55137.0,2023-05-22
280012,Exempt,4104,Promotion,18-4-S406,55137.0,2023-08-14
307886,Non-Exempt,4104,Promotion,18-40-1003,55103.0,2023-07-17
295947,Exempt,4104,Promotion,18-4-S444,55090.0,2023-07-03
221042,Non-Exempt,4104,Promotion,18-77-701,55138.0,2023-07-10
289009,Non-Exempt,4104,Promotion,18-2-3050,55076.0,2022-04-11
290407,Non-Exempt,4104,Promotion,18-75-1002,55123.0,2025-01-20
293662,Non-Exempt,4104,Promotion,18-8-1005,55123.0,2023-03-20
276376,Non-Exempt,4104,Promotion,18-74-601,55113.0,2022-08-08
276376,Non-Exempt,4104,Promotion,18-74-601,55113.0,2023-09-11
280170,Non-Exempt,4104,Promotion,18-2-3050,55094.0,2022-09-26
280170,Non-Exempt,4104,Promotion,18-2-3050,55094.0,2023-07-17
291794,Non-Exempt,4104,Promotion,18-41-1003,55087.0,2022-03-28
291794,Non-Exempt,4104,Promotion,18-41-1003,55087.0,2022-06-27
322200,Non-Exempt,4104,Promotion,18-40-1001,55101.0,2024-08-19
286494,Non-Exempt,4104,Promotion,18-77-402,55138.0,2022-03-28
276658,Exempt,4104,Promotion,18-4-S429,55100.0,2023-08-07
276658,Non-Exempt,4104,Promotion,18-4-S429,55100.0,2022-10-31
273005,Non-Exempt,4104,Promotion,18-2-3230,55105.0,2021-11-15
273005,Non-Exempt,4104,Promotion,18-2-3230,55105.0,2022-06-27
274623,Exempt,4104,Promotion,18-1-S109,,2023-04-17
309575,Exempt,4104,Promotion,18-4-S429,55091.0,2024-12-16
282669,Non-Exempt,4104,Promotion,18-8-1004,55109.0,2021-11-01
284602,Non-Exempt,4104,Promotion,18-757-502,55074.0,2023-03-27
293649,Non-Exempt,4104,Promotion,18-2-3230,55087.0,2022-10-03
291111,Non-Exempt,4104,Promotion,18-77-401,55113.0,2022-07-25
311285,Non-Exempt,4104,Promotion,18-197-400,55105.0,2023-08-28
304517,Non-Exempt,4104,Promotion,18-41-1003,55308.0,2024-03-04
311600,Non-Exempt,4104,Promotion,18-41-1003,55075.0,2023-09-18
274485,Non-Exempt,4104,Promotion,18-41-1001,55086.0,2022-10-24
276638,Non-Exempt,4104,Promotion,18-41-1003,55094.0,2021-11-30
276451,Non-Exempt,4104,Promotion,18-41-1003,55094.0,2022-03-28
286287,Non-Exempt,4104,Promotion,18-2-3230,55076.0,2023-06-12
308147,Non-Exempt,4104,Promotion,18-199-501,55117.0,2023-07-31
290942,Non-Exempt,4104,Promotion,18-41-1001,55086.0,2022-10-24
280669,Non-Exempt,4104,Promotion,18-2-3110,55113.0,2023-02-27
288573,Non-Exempt,4104,Promotion,18-8-1004,55076.0,2021-10-25
309133,Non-Exempt,4104,Promotion,18-197-600,55105.0,2023-06-12
281972,Non-Exempt,4104,Promotion,18-8-1004,55093.0,2023-01-09
313963,Non-Exempt,4104,Promotion,18-708-602,55301.0,2024-05-09
308500,Non-Exempt,4104,Promotion,18-748-102,55305.0,2023-05-22
310399,Non-Exempt,4104,Promotion,18-41-1003,55123.0,2024-03-04
293361,Non-Exempt,4104,Promotion,18-41-1003,55076.0,2022-09-12
293832,Non-Exempt,4104,Promotion,18-8-1006,55089.0,2022-10-17
293803,Non-Exempt,4104,Promotion,18-8-1006,55089.0,2022-10-17
294241,Exempt,4104,Promotion,18-4-S429,55801.0,2023-08-21
276754,Non-Exempt,4104,Promotion,18-74-500,55109.0,2022-04-25
284808,Exempt,4104,Promotion,18-2-S225,55100.0,2023-08-07
284808,Exempt,4104,Promotion,18-2-S225,55100.0,2024-04-15
284808,Non-Exempt,4104,Promotion,18-2-S225,55100.0,2022-05-02
284808,Non-Exempt,4104,Promotion,18-2-S225,55100.0,2023-01-09
279985,Exempt,4104,Promotion,18-1-S171,,2022-08-08
279985,Exempt,4104,Promotion,18-1-S171,,2024-01-08
308499,Non-Exempt,4104,Promotion,18-708-102,55304.0,2023-05-22
284811,Non-Exempt,4104,Promotion,18-2-3080,55097.0,2021-11-29
284811,Non-Exempt,4104,Promotion,18-2-3080,55097.0,2024-04-15
300064,Exempt,4104,Promotion,18-4-S444,,2023-10-09
299833,Non-Exempt,4104,Promotion,18-77-405,55143.0,2023-02-13
122117,Non-Exempt,4104,Promotion,18-5-5090,55113.0,2024-08-19
