EE #,FLSA Category,PR Dept,Craft Class Code,Project Code,RehireDate,Reason
286170,Non-Exempt,4104,18-196-500,55723.0,03/13/2024,Rehire
318732,Non-Exempt,4104,18-30-1002,55313.0,02/03/2025,Rehire
284058,Non-Exempt,4104,18-41-1001,55091.0,09/17/2024,Rehire
314524,Non-Exempt,4104,18-752-500,55302.0,11/02/2023,Rehire
319691,Non-Exempt,4104,18-30-1003,55123.0,01/22/2025,Rehire
312799,Non-Exempt,4104,18-41-1002,55094.0,02/06/2024,Rehire
286075,Non-Exempt,4104,18-8-1004,55105.0,11/16/2022,Rehire
286075,Non-Exempt,4104,18-8-1004,55105.0,03/07/2024,Rehire
285341,Non-Exempt,4104,18-40-1002,55087.0,12/08/2022,Rehire
307836,Non-Exempt,4104,18-40-1001,55091.0,01/30/2024,Rehire
283227,Non-Exempt,4104,18-5-5010,55105.0,01/31/2023,Rehire
321354,Non-Exempt,4104,18-40-1002,55086.0,10/01/2024,Rehire
306669,Non-Exempt,4104,18-195-402,55109.0,05/14/2024,Rehire
307747,Non-Exempt,4104,18-30-1003,55100.0,10/16/2024,Rehire
271423,Non-Exempt,4104,18-41-1002,55085.0,11/22/2021,Rehire
271423,Non-Exempt,4104,18-41-1002,55085.0,03/28/2023,Rehire
307404,Non-Exempt,4104,18-47-402,55138.0,02/13/2024,Rehire
307404,Non-Exempt,4104,18-47-402,55138.0,08/28/2024,Rehire
303978,Non-Exempt,4104,18-797-600,55105.0,08/06/2024,Rehire
307606,Non-Exempt,4104,18-47-101,55109.0,01/11/2024,Rehire
312960,Non-Exempt,4104,18-197-400,55105.0,02/21/2024,Rehire
286531,Non-Exempt,4104,18-5-5080,55102.0,10/18/2021,Rehire
301219,Non-Exempt,4104,18-47-400,55109.0,09/04/2024,Rehire
318669,Non-Exempt,4104,18-41-1003,55100.0,10/07/2024,Rehire
310673,Non-Exempt,4104,18-40-1002,55311.0,09/12/2023,Rehire
306832,Non-Exempt,4104,18-30-1003,55123.0,01/22/2025,Rehire
310636,Non-Exempt,4104,18-41-1002,55094.0,10/09/2024,Rehire
276725,Non-Exempt,4104,18-41-1001,55089.0,01/12/2022,Rehire
312235,Non-Exempt,4104,18-8-1005,55089.0,01/10/2024,Rehire
284558,Non-Exempt,4104,18-40-1002,55090.0,06/29/2023,Rehire
282766,Non-Exempt,4104,18-2-3230,55090.0,01/11/2022,Rehire
285987,Non-Exempt,4104,18-40-1002,55090.0,10/04/2022,Rehire
286187,Non-Exempt,4104,18-40-1002,55090.0,05/11/2023,Rehire
292370,Non-Exempt,4104,18-77-501,55113.0,06/11/2024,Rehire
313660,Non-Exempt,4104,18-748-500,55307.0,12/05/2023,Rehire
284548,Non-Exempt,4104,18-40-1002,55090.0,06/29/2023,Rehire
306295,Non-Exempt,4104,18-41-1001,55123.0,06/18/2024,Rehire
306295,Non-Exempt,4104,18-41-1001,55123.0,12/04/2024,Rehire
314041,Non-Exempt,4104,18-40-1002,55100.0,05/07/2024,Rehire
314041,Non-Exempt,4104,18-40-1002,55100.0,10/15/2024,Rehire
306674,Exempt,4104,18-2-S266,55113.0,06/17/2024,Rehire
284939,Non-Exempt,4104,18-757-522,55074.0,04/29/2022,Rehire
284939,Non-Exempt,4104,18-757-522,55074.0,03/15/2023,Rehire
292666,Non-Exempt,4104,18-47-403,55138.0,02/21/2024,Rehire
292666,Non-Exempt,4104,18-47-403,55138.0,02/24/2025,Rehire
304604,Non-Exempt,4104,18-197-400,55105.0,12/11/2024,Rehire
307453,Non-Exempt,4104,18-199-101,55117.0,02/21/2024,Rehire
307564,Non-Exempt,4104,18-41-1002,55109.0,07/31/2023,Rehire
307564,Non-Exempt,4104,18-41-1002,55109.0,04/09/2024,Rehire
307564,Non-Exempt,4104,18-41-1002,55109.0,04/09/2024,Rehire
310145,Non-Exempt,4104,18-77-703,55138.0,05/29/2024,Rehire
284587,Non-Exempt,4104,18-41-1003,55103.0,06/05/2024,Rehire
301523,Non-Exempt,4104,18-77-102,55143.0,10/21/2024,Rehire
303151,Non-Exempt,4104,18-40-1001,55143.0,10/21/2024,Rehire
308149,Non-Exempt,4104,18-41-1001,55091.0,09/25/2024,Rehire
284639,Non-Exempt,4104,18-77-405,55143.0,01/04/2024,Rehire
321627,Non-Exempt,4104,18-73-1003,55313.0,01/20/2025,Rehire
275944,Non-Exempt,4104,18-30-1001,55076.0,12/26/2022,Rehire
310382,Non-Exempt,4104,18-41-1003,55094.0,02/27/2024,Rehire
310448,Non-Exempt,4104,18-47-101,55113.0,02/27/2024,Rehire
276240,Non-Exempt,4104,18-8-1005,55079.0,03/21/2022,Rehire
305595,Non-Exempt,4104,18-40-1002,55087.0,07/23/2024,Rehire
284106,Non-Exempt,4104,18-5-5030,55105.0,07/29/2024,Rehire
282782,Non-Exempt,4104,18-2-3210,55105.0,11/16/2023,Rehire
300544,Non-Exempt,4104,18-197-500,55105.0,07/25/2023,Rehire
270156,Non-Exempt,4104,18-2-3030,55105.0,07/25/2023,Rehire
284640,Non-Exempt,4104,18-8-1004,55094.0,02/13/2024,Rehire
291121,Non-Exempt,4104,18-77-402,55106.0,01/07/2025,Rehire
235541,Non-Exempt,4104,18-8-1004,55123.0,09/20/2022,Rehire
286477,Non-Exempt,4104,18-40-1003,55076.0,10/18/2021,Rehire
279891,Non-Exempt,4104,18-757-186,55074.0,04/05/2022,Rehire
314846,Non-Exempt,4104,18-708-104,55301.0,01/30/2024,Rehire
321102,Non-Exempt,4104,18-47-101,55138.0,02/03/2025,Rehire
302477,Non-Exempt,4104,18-41-1002,55094.0,10/17/2024,Rehire
306978,Non-Exempt,4104,18-41-1002,55123.0,01/08/2025,Rehire
286173,Non-Exempt,4104,18-197-500,55105.0,03/26/2024,Rehire
319285,Non-Exempt,4104,18-41-1003,55123.0,01/20/2025,Rehire
288382,Non-Exempt,4104,18-757-522,55074.0,01/24/2023,Rehire
303618,Non-Exempt,4104,18-41-1003,55094.0,07/25/2023,Rehire
303618,Non-Exempt,4104,18-41-1003,55094.0,03/12/2024,Rehire
285652,Non-Exempt,4104,18-8-1005,55113.0,05/10/2022,Rehire
285652,Non-Exempt,4104,18-8-1005,55113.0,10/30/2024,Rehire
318192,Non-Exempt,4104,18-745-500,55117.0,11/04/2024,Rehire
286802,Non-Exempt,4104,18-2-3070,55093.0,11/30/2021,Rehire
303989,Non-Exempt,4104,18-40-1001,55093.0,03/07/2023,Rehire
308517,Non-Exempt,4104,18-41-1003,55094.0,03/19/2024,Rehire
309902,Non-Exempt,4104,18-47-500,55113.0,11/11/2024,Rehire
309902,Non-Exempt,4104,18-47-500,55113.0,02/03/2025,Rehire
284521,Non-Exempt,4104,18-41-1003,55085.0,04/21/2022,Rehire
328658,Non-Exempt,4104,18-745-500,55117.0,01/09/2025,Rehire
283343,Non-Exempt,4104,18-41-1001,55091.0,05/12/2022,Rehire
283343,Non-Exempt,4104,18-41-1001,55091.0,09/25/2024,Rehire
286190,Non-Exempt,4104,18-40-1002,55090.0,05/11/2023,Rehire
276346,Non-Exempt,4104,18-41-1002,55094.0,03/07/2022,Rehire
322465,Non-Exempt,4104,18-41-1002,55087.0,07/23/2024,Rehire
285482,Non-Exempt,4104,18-41-1001,55089.0,07/26/2022,Rehire
289893,Non-Exempt,4104,18-41-1002,55089.0,08/09/2022,Rehire
300241,Non-Exempt,4104,18-77-501,55113.0,08/15/2023,Rehire
300241,Non-Exempt,4104,18-77-501,55113.0,09/19/2024,Rehire
313633,Non-Exempt,4104,18-41-1001,55103.0,04/23/2024,Rehire
282836,Non-Exempt,4104,18-2-3220,55076.0,01/03/2023,Rehire
308578,Non-Exempt,4104,18-47-400,55113.0,03/05/2024,Rehire
308578,Non-Exempt,4104,18-47-400,55113.0,02/05/2025,Rehire
285591,Non-Exempt,4104,18-8-1006,55087.0,10/05/2021,Rehire
285591,Non-Exempt,4104,18-8-1006,55087.0,02/10/2022,Rehire
309710,Non-Exempt,4104,18-197-101,55105.0,03/05/2024,Rehire
271624,Non-Exempt,4104,18-77-701,55143.0,06/13/2024,Rehire
303615,Non-Exempt,4104,18-77-103,55143.0,05/18/2023,Rehire
303615,Non-Exempt,4104,18-77-103,55143.0,11/28/2023,Rehire
294023,Non-Exempt,4104,18-77-400,55109.0,08/01/2022,Rehire
311805,Non-Exempt,4104,18-197-101,55105.0,04/09/2024,Rehire
285998,Non-Exempt,4104,18-8-1005,55094.0,11/07/2022,Rehire
285998,Non-Exempt,4104,18-8-1005,55094.0,05/16/2023,Rehire
304653,Non-Exempt,4104,18-30-1003,55094.0,06/11/2024,Rehire
311160,Non-Exempt,4104,18-41-1003,55094.0,03/19/2024,Rehire
311130,Non-Exempt,4104,18-41-1003,55094.0,06/04/2024,Rehire
316927,Non-Exempt,4104,18-195-402,55109.0,06/05/2024,Rehire
284400,Non-Exempt,4104,18-40-1002,55087.0,02/07/2023,Rehire
289687,Non-Exempt,4104,18-40-1001,55089.0,04/19/2022,Rehire
276173,Non-Exempt,4104,18-2-3110,55091.0,03/06/2024,Rehire
276165,Non-Exempt,4104,18-40-1002,55076.0,05/11/2022,Rehire
279881,Non-Exempt,4104,18-757-500,55074.0,04/05/2022,Rehire
275882,Non-Exempt,4104,18-8-1005,55094.0,02/21/2024,Rehire
314726,Non-Exempt,4104,18-8-1005,55094.0,02/21/2024,Rehire
291015,Non-Exempt,4104,18-2-3230,55094.0,04/27/2022,Rehire
291015,Non-Exempt,4104,18-2-3230,55094.0,09/21/2022,Rehire
291015,Non-Exempt,4104,18-2-3230,55094.0,02/06/2024,Rehire
317541,Non-Exempt,4104,18-708-632,55301.0,03/12/2024,Rehire
305734,Non-Exempt,4104,18-41-1003,55123.0,02/19/2024,Rehire
305734,Non-Exempt,4104,18-41-1003,55123.0,01/27/2025,Rehire
300315,Non-Exempt,4104,18-797-100,55105.0,07/26/2023,Rehire
302711,Non-Exempt,4104,18-40-1001,55100.0,06/25/2024,Rehire
285515,Non-Exempt,4104,18-757-502,55074.0,03/07/2023,Rehire
287702,Non-Exempt,4104,18-T757-500,55074.0,02/17/2022,Rehire
287715,Non-Exempt,4104,18-757-502,55074.0,03/24/2022,Rehire
306158,Non-Exempt,4104,18-8-1005,55120.0,04/11/2024,Rehire
308992,Non-Exempt,4104,18-47-102,55138.0,05/07/2024,Rehire
308992,Non-Exempt,4104,18-47-102,55138.0,02/03/2025,Rehire
307699,Non-Exempt,4104,18-40-1002,55094.0,01/31/2024,Rehire
275597,Non-Exempt,4104,18-745-100,55117.0,06/11/2024,Rehire
298548,Non-Exempt,4104,18-2-3070,55123.0,03/19/2024,Rehire
295729,Non-Exempt,4104,18-40-1001,55087.0,10/25/2022,Rehire
317320,Non-Exempt,4104,18-47-400,55143.0,10/28/2024,Rehire
292397,Non-Exempt,4104,18-8-1005,55076.0,09/28/2022,Rehire
293663,Non-Exempt,4104,18-8-1005,55105.0,09/29/2022,Rehire
293663,Non-Exempt,4104,18-8-1005,55105.0,11/30/2023,Rehire
317252,Non-Exempt,4104,18-5-5010,55105.0,01/29/2025,Rehire
306143,Non-Exempt,4104,18-41-1002,55085.0,08/24/2023,Rehire
326267,Non-Exempt,4104,18-40-1002,55091.0,01/27/2025,Rehire
306598,Non-Exempt,4104,18-748-104,55305.0,05/08/2023,Rehire
296023,Non-Exempt,4104,18-757-522,55074.0,03/14/2023,Rehire
280372,Non-Exempt,4104,18-40-1002,55076.0,12/15/2022,Rehire
248449,Non-Exempt,4104,18-40-1001,55093.0,11/10/2022,Rehire
310867,Non-Exempt,4104,18-752-100,55302.0,01/18/2024,Rehire
320849,Non-Exempt,4104,18-77-103,55143.0,01/08/2025,Rehire
321977,Non-Exempt,4104,18-197-400,55105.0,10/14/2024,Rehire
321977,Non-Exempt,4104,18-197-400,55105.0,11/18/2024,Rehire
304281,Non-Exempt,4104,18-47-101,55143.0,01/08/2025,Rehire
306726,Non-Exempt,4104,18-197-400,55105.0,04/10/2024,Rehire
280409,Non-Exempt,4104,18-41-1002,55094.0,05/30/2023,Rehire
280409,Non-Exempt,4104,18-41-1002,55094.0,07/16/2024,Rehire
310142,Non-Exempt,4104,18-30-1003,55100.0,10/16/2024,Rehire
312873,Non-Exempt,4104,18-752-106,55302.0,01/03/2024,Rehire
313425,Non-Exempt,4104,18-708-503,55301.0,02/07/2024,Rehire
322587,Non-Exempt,4104,18-77-102,55812.0,01/06/2025,Rehire
317540,Non-Exempt,4104,18-40-1001,55091.0,12/09/2024,Rehire
270987,Non-Exempt,4104,18-2-S268,55113.0,10/18/2021,Rehire
281709,Non-Exempt,4104,18-40-1002,55074.0,04/21/2022,Rehire
289043,Non-Exempt,4104,18-40-1002,55085.0,04/27/2022,Rehire
284191,Non-Exempt,4104,18-40-1002,55089.0,02/07/2024,Rehire
311236,Non-Exempt,4104,18-41-1003,55123.0,01/20/2025,Rehire
308568,Non-Exempt,4104,18-8-1004,55091.0,07/30/2024,Rehire
305872,Non-Exempt,4104,18-40-1001,55101.0,06/24/2024,Rehire
305613,Non-Exempt,4104,18-2-3110,55094.0,03/05/2024,Rehire
311782,Non-Exempt,4104,18-40-1003,55103.0,01/31/2024,Rehire
315675,Non-Exempt,4104,18-745-500,55117.0,11/11/2024,Rehire
283402,Non-Exempt,4104,18-2-3220,55091.0,05/22/2023,Rehire
283402,Non-Exempt,4104,18-2-3220,55091.0,05/14/2024,Rehire
283402,Non-Exempt,4104,18-2-3220,55091.0,02/05/2025,Rehire
293779,Non-Exempt,4104,18-41-1002,55091.0,05/28/2024,Rehire
293779,Non-Exempt,4104,18-41-1002,55091.0,02/10/2025,Rehire
310862,Non-Exempt,4104,18-752-100,55302.0,11/14/2023,Rehire
310862,Non-Exempt,4104,18-752-100,55302.0,01/18/2024,Rehire
321569,Non-Exempt,4104,18-41-1003,55123.0,08/27/2024,Rehire
321569,Non-Exempt,4104,18-41-1003,55123.0,01/27/2025,Rehire
97776,Exempt,4104,18-4-S429,55079.0,01/11/2022,Rehire
307437,Non-Exempt,4104,18-47-700,55138.0,02/21/2024,Rehire
309481,Non-Exempt,4104,18-708-101,55304.0,09/21/2023,Rehire
313634,Non-Exempt,4104,18-745-500,55117.0,02/20/2024,Rehire
313634,Non-Exempt,4104,18-745-500,55117.0,03/27/2024,Rehire
313634,Non-Exempt,4104,18-745-500,55117.0,07/23/2024,Rehire
313634,Non-Exempt,4104,18-745-500,55117.0,11/04/2024,Rehire
259185,Non-Exempt,4104,18-197-400,55105.0,10/14/2021,Rehire
259185,Non-Exempt,4104,18-197-400,55105.0,08/16/2022,Rehire
259185,Non-Exempt,4104,18-197-400,55105.0,12/11/2024,Rehire
280442,Non-Exempt,4104,18-757-502,55074.0,01/31/2023,Rehire
303598,Non-Exempt,4104,18-41-1003,55150.0,01/22/2025,Rehire
300866,Non-Exempt,4104,18-41-1002,55097.0,05/29/2024,Rehire
314843,Non-Exempt,4104,18-708-103,55301.0,03/12/2024,Rehire
291286,Non-Exempt,4104,18-41-1001,55103.0,02/25/2022,Rehire
291286,Non-Exempt,4104,18-41-1001,55103.0,08/18/2022,Rehire
291286,Non-Exempt,4104,18-41-1001,55103.0,05/08/2024,Rehire
288365,Non-Exempt,4104,18-757-522,55074.0,04/29/2022,Rehire
317542,Non-Exempt,4104,18-41-1001,55091.0,01/07/2025,Rehire
308406,Non-Exempt,4104,18-40-1002,55103.0,05/08/2024,Rehire
303197,Non-Exempt,4104,18-64-1003,55143.0,01/07/2025,Rehire
305472,Non-Exempt,4104,18-8-1004,55091.0,05/21/2024,Rehire
310225,Non-Exempt,4104,18-199-501,55117.0,06/18/2024,Rehire
302246,Non-Exempt,4104,18-8-1004,55094.0,01/11/2023,Rehire
318470,Non-Exempt,4104,18-745-104,55117.0,09/26/2024,Rehire
317736,Non-Exempt,4104,18-745-600,55117.0,04/11/2024,Rehire
317736,Non-Exempt,4104,18-745-600,55117.0,06/04/2024,Rehire
317736,Non-Exempt,4104,18-745-600,55117.0,10/02/2024,Rehire
306346,Non-Exempt,4104,18-41-1003,55094.0,04/09/2024,Rehire
321656,Non-Exempt,4104,18-47-400,55109.0,07/15/2024,Rehire
275428,Non-Exempt,4104,18-77-401,55109.0,04/16/2024,Rehire
283045,Non-Exempt,4104,18-41-1003,55801.0,12/08/2021,Rehire
305739,Non-Exempt,4104,18-40-1001,55100.0,06/19/2024,Rehire
295145,Non-Exempt,4104,18-5-5160,55117.0,09/29/2022,Rehire
295145,Non-Exempt,4104,18-5-5160,55117.0,01/17/2024,Rehire
295145,Non-Exempt,4104,18-5-5160,55117.0,02/22/2024,Rehire
295145,Non-Exempt,4104,18-5-5160,55117.0,06/27/2024,Rehire
307724,Non-Exempt,4104,18-5-5020,55123.0,11/15/2023,Rehire
300197,Non-Exempt,4104,18-40-1002,55087.0,10/19/2022,Rehire
281954,Non-Exempt,4104,18-T757-522,55074.0,03/30/2022,Rehire
284118,Non-Exempt,4104,18-47-400,55109.0,03/21/2024,Rehire
284118,Non-Exempt,4104,18-47-400,55109.0,09/17/2024,Rehire
300352,Non-Exempt,4104,18-40-1001,55089.0,11/29/2023,Rehire
296059,Non-Exempt,4104,18-299-501,55117.0,04/25/2024,Rehire
281588,Non-Exempt,4104,18-41-1003,55081.0,11/09/2021,Rehire
302422,Non-Exempt,4104,18-47-101,55143.0,01/08/2025,Rehire
292344,Non-Exempt,4104,18-41-1003,55093.0,01/03/2023,Rehire
292344,Non-Exempt,4104,18-41-1003,55093.0,03/28/2023,Rehire
281598,Non-Exempt,4104,18-8-1004,55081.0,11/04/2021,Rehire
318909,Non-Exempt,4104,18-47-102,55138.0,09/18/2024,Rehire
318909,Non-Exempt,4104,18-47-102,55138.0,02/24/2025,Rehire
306560,Non-Exempt,4104,18-40-1002,55093.0,06/13/2023,Rehire
287697,Non-Exempt,4104,18-6-6520,55089.0,06/06/2022,Rehire
232062,Non-Exempt,4104,18-8-1004,55076.0,04/19/2022,Rehire
284012,Non-Exempt,4104,18-295-411,55109.0,11/28/2023,Rehire
284012,Non-Exempt,4104,18-295-411,55109.0,07/23/2024,Rehire
284016,Non-Exempt,4104,18-77-501,55109.0,11/28/2023,Rehire
284016,Non-Exempt,4104,18-77-501,55109.0,07/23/2024,Rehire
284017,Non-Exempt,4104,18-2-S271,55123.0,11/28/2023,Rehire
306858,Non-Exempt,4104,18-40-1001,55103.0,03/19/2024,Rehire
295439,Non-Exempt,4104,18-40-1001,55101.0,05/23/2023,Rehire
321608,Non-Exempt,4104,18-40-1001,55702.0,01/20/2025,Rehire
315313,Non-Exempt,4104,18-74-102,55138.0,10/30/2023,Rehire
315313,Non-Exempt,4104,18-74-102,55138.0,01/20/2025,Rehire
306857,Non-Exempt,4104,18-41-1001,55311.0,04/03/2024,Rehire
317853,Non-Exempt,4104,18-47-400,55109.0,09/25/2024,Rehire
318794,Non-Exempt,4104,18-40-1001,55702.0,01/20/2025,Rehire
292395,Non-Exempt,4104,18-41-1003,55086.0,01/26/2023,Rehire
303573,Non-Exempt,4104,18-30-1001,55091.0,03/19/2024,Rehire
313769,Non-Exempt,4104,18-708-500,55301.0,11/07/2023,Rehire
283523,Non-Exempt,4104,18-41-1003,55094.0,12/14/2022,Rehire
283523,Non-Exempt,4104,18-41-1003,55094.0,02/14/2024,Rehire
313381,Non-Exempt,4104,18-197-400,55105.0,05/07/2024,Rehire
324714,Non-Exempt,4104,18-745-500,55117.0,10/23/2024,Rehire
324714,Non-Exempt,4104,18-745-500,55117.0,01/13/2025,Rehire
300536,Non-Exempt,4104,18-47-400,55109.0,04/06/2023,Rehire
300536,Non-Exempt,4104,18-47-400,55109.0,08/29/2023,Rehire
300536,Non-Exempt,4104,18-47-400,55109.0,02/07/2024,Rehire
300536,Non-Exempt,4104,18-47-400,55109.0,10/21/2024,Rehire
314697,Non-Exempt,4104,18-40-1002,55105.0,02/14/2024,Rehire
286459,Non-Exempt,4104,18-797-500,55105.0,08/02/2022,Rehire
286459,Non-Exempt,4104,18-797-500,55105.0,06/05/2024,Rehire
306860,Non-Exempt,4104,18-47-400,55113.0,02/26/2025,Rehire
286758,Non-Exempt,4104,18-40-1001,55076.0,12/08/2021,Rehire
308773,Non-Exempt,4104,18-41-1003,55089.0,01/30/2024,Rehire
286757,Non-Exempt,4104,18-40-1002,55076.0,12/08/2021,Rehire
317035,Non-Exempt,4104,18-41-1002,55123.0,01/09/2025,Rehire
271404,Non-Exempt,4104,18-74-400,55109.0,12/07/2021,Rehire
271404,Non-Exempt,4104,18-74-400,55109.0,11/11/2024,Rehire
301200,Non-Exempt,4104,18-8-1005,55100.0,04/30/2024,Rehire
306859,Non-Exempt,4104,18-30-1002,55094.0,05/07/2024,Rehire
318088,Non-Exempt,4104,18-77-102,55138.0,06/04/2024,Rehire
318088,Non-Exempt,4104,18-77-102,55138.0,02/19/2025,Rehire
302337,Non-Exempt,4104,18-2-3100,55123.0,07/20/2023,Rehire
302345,Non-Exempt,4104,18-2-S271,55143.0,07/20/2023,Rehire
292034,Non-Exempt,4104,18-8-1005,55094.0,02/25/2022,Rehire
292034,Non-Exempt,4104,18-8-1005,55094.0,01/17/2024,Rehire
304622,Non-Exempt,4104,18-30-1003,55091.0,03/19/2024,Rehire
304622,Non-Exempt,4104,18-30-1003,55091.0,01/08/2025,Rehire
298725,Exempt,4104,18-4-S429,55094.0,03/06/2023,Rehire
315318,Non-Exempt,4104,18-708-500,55301.0,04/30/2024,Rehire
307569,Non-Exempt,4104,18-40-1001,55109.0,11/28/2023,Rehire
310782,Non-Exempt,4104,18-199-501,55117.0,05/14/2024,Rehire
272161,Non-Exempt,4104,18-77-402,55143.0,07/10/2024,Rehire
275773,Non-Exempt,4104,18-2-3100,55123.0,10/21/2021,Rehire
275773,Non-Exempt,4104,18-2-3100,55123.0,09/20/2022,Rehire
275773,Non-Exempt,4104,18-2-3100,55123.0,03/17/2023,Rehire
275773,Non-Exempt,4104,18-2-3100,55123.0,08/22/2024,Rehire
275773,Non-Exempt,4104,18-2-3100,55123.0,01/22/2025,Rehire
324116,Non-Exempt,4104,18-41-1003,55100.0,09/26/2024,Rehire
316103,Non-Exempt,4104,18-41-1003,55123.0,05/28/2024,Rehire
316103,Non-Exempt,4104,18-41-1003,55123.0,12/09/2024,Rehire
320175,Non-Exempt,4104,18-8-1005,55123.0,12/09/2024,Rehire
302092,Non-Exempt,4104,18-41-1003,55100.0,10/14/2024,Rehire
302237,Non-Exempt,4104,18-40-1001,55123.0,07/20/2023,Rehire
302237,Non-Exempt,4104,18-40-1001,55123.0,02/03/2025,Rehire
308562,Non-Exempt,4104,18-40-1002,55089.0,02/08/2024,Rehire
304217,Non-Exempt,4104,18-47-401,55138.0,02/03/2025,Rehire
307730,Non-Exempt,4104,18-47-400,55113.0,02/05/2025,Rehire
318967,Non-Exempt,4104,18-47-102,55138.0,09/18/2024,Rehire
318967,Non-Exempt,4104,18-47-102,55138.0,02/24/2025,Rehire
300686,Non-Exempt,4104,18-77-402,55138.0,11/16/2023,Rehire
283538,Non-Exempt,4104,18-40-1001,55087.0,01/03/2023,Rehire
284813,Non-Exempt,4104,18-2-3070,55086.0,12/22/2022,Rehire
285616,Non-Exempt,4104,18-297-413,55105.0,08/15/2023,Rehire
309645,Non-Exempt,4104,18-77-102,55138.0,02/20/2025,Rehire
307872,Non-Exempt,4104,18-40-1002,55089.0,05/30/2023,Rehire
307872,Non-Exempt,4104,18-40-1002,55089.0,02/28/2024,Rehire
310387,Non-Exempt,4104,18-77-405,55143.0,10/09/2024,Rehire
286014,Non-Exempt,4104,18-5-5140,55809.0,02/26/2025,Rehire
304158,Non-Exempt,4104,18-40-1001,55100.0,06/25/2024,Rehire
282667,Non-Exempt,4104,18-2-3080,55310.0,11/28/2022,Rehire
315124,Non-Exempt,4104,18-197-101,55105.0,11/27/2023,Rehire
308990,Non-Exempt,4104,18-41-1002,55086.0,02/01/2024,Rehire
259561,Non-Exempt,4104,18-40-1001,55094.0,01/12/2022,Rehire
259561,Non-Exempt,4104,18-40-1001,55094.0,09/27/2023,Rehire
259561,Non-Exempt,4104,18-40-1001,55094.0,11/07/2023,Rehire
310652,Non-Exempt,4104,18-41-1003,55094.0,09/17/2024,Rehire
315368,Non-Exempt,4104,18-5-5020,55091.0,09/10/2024,Rehire
303231,Non-Exempt,4104,18-47-400,55109.0,10/30/2023,Rehire
303231,Non-Exempt,4104,18-47-400,55109.0,08/27/2024,Rehire
285580,Non-Exempt,4104,18-197-400,55105.0,02/08/2024,Rehire
309455,Non-Exempt,4104,18-41-1002,55086.0,02/01/2024,Rehire
259607,Non-Exempt,4104,18-2-S268,55086.0,02/13/2024,Rehire
286699,Non-Exempt,4104,18-2-S225,55123.0,01/09/2024,Rehire
305606,Non-Exempt,4104,18-8-1004,55091.0,05/21/2024,Rehire
319038,Non-Exempt,4104,18-745-500,55117.0,10/21/2024,Rehire
304995,Non-Exempt,4104,18-40-1001,55093.0,06/15/2023,Rehire
306705,Non-Exempt,4104,18-77-101,55143.0,01/08/2025,Rehire
305768,Non-Exempt,4104,18-41-1003,55100.0,05/18/2023,Rehire
305768,Non-Exempt,4104,18-41-1003,55100.0,02/13/2024,Rehire
309268,Non-Exempt,4104,18-41-1002,55086.0,02/01/2024,Rehire
309591,Non-Exempt,4104,18-41-1002,55086.0,02/01/2024,Rehire
309270,Non-Exempt,4104,18-41-1002,55094.0,02/06/2024,Rehire
